Εξοδα συνδυασμός κατηγορίας και Ε3
Εξοδα συνδυασμοί κατηγοριών και Ε3
id  category    e3

1.1 category2_1 E3_102_001
1.1 category2_1 E3_102_003
1.1 category2_1 E3_102_006
1.1 category2_1 E3_313_001
1.1 category2_1 E3_313_005
1.1 category2_2 E3_202_001
1.1 category2_2 E3_202_005
1.1 category2_2 E3_302_001
1.1 category2_2 E3_302_005
1.1 category2_3 E3_585_001
1.1 category2_3 E3_585_002
1.1 category2_3 E3_585_004
1.1 category2_3 E3_585_005
1.1 category2_3 E3_585_006
1.1 category2_3 E3_585_008
1.1 category2_3 E3_585_009
1.1 category2_3 E3_585_011
1.1 category2_3 E3_585_012
1.1 category2_3 E3_585_013
1.1 category2_3 E3_585_014
1.1 category2_3 E3_585_015
1.1 category2_3 E3_585_016
1.1 category2_3 E3_586
1.1 category2_3 E3_581_003
1.1 category2_4 E3_585_001
1.1 category2_4 E3_585_002
1.1 category2_4 E3_585_004
1.1 category2_4 E3_585_005
1.1 category2_4 E3_585_006
1.1 category2_4 E3_585_008
1.1 category2_4 E3_585_009
1.1 category2_4 E3_585_011
1.1 category2_4 E3_585_012
1.1 category2_4 E3_585_013
1.1 category2_4 E3_585_014
1.1 category2_4 E3_585_015
1.1 category2_4 E3_585_016
1.1 category2_4 E3_586
1.1 category2_4 E3_102_001
1.1 category2_4 E3_102_003
1.1 category2_4 E3_102_004
1.1 category2_4 E3_102_005
1.1 category2_4 E3_202_003
1.1 category2_4 E3_202_004
1.1 category2_4 E3_302_003
1.1 category2_4 E3_302_004
1.1 category2_4 E3_313_003
1.1 category2_4 E3_313_004
1.1 category2_4 E3_581_003
1.1 category2_5 E3_585_001
1.1 category2_5 E3_585_002
1.1 category2_5 E3_585_004
1.1 category2_5 E3_585_004
1.1 category2_5 E3_585_005
1.1 category2_5 E3_585_006
1.1 category2_5 E3_585_008
1.1 category2_5 E3_585_009
1.1 category2_5 E3_585_011
1.1 category2_5 E3_585_012
1.1 category2_5 E3_585_013
1.1 category2_5 E3_585_014
1.1 category2_5 E3_585_015
1.1 category2_5 E3_585_016
1.1 category2_5 E3_586
1.1 category2_5 E3_882_001
1.1 category2_5 E3_883_001
1.1 category2_5 E3_102_001
1.1 category2_5 E3_102_003
1.1 category2_5 E3_102_004
1.1 category2_5 E3_102_005
1.1 category2_5 E3_202_003
1.1 category2_5 E3_202_004
1.1 category2_5 E3_302_003
1.1 category2_5 E3_302_004
1.1 category2_5 E3_313_003
1.1 category2_5 E3_313_004
1.1 category2_5 E3_581_003
1.1 category2_7 E3_882_001
1.1 category2_7 E3_883_001
1.4 category2_1 E3_102_001
1.4 category2_1 E3_102_003
